step, flag_perc, avg_face_degree, polydispersity, avg_volume, time
foam198, 69.95412844036697, 12.314220183486238, 0.285376398799849, 1.215490052581889, 2.56131
foam199, 69.00114810562572, 12.298507462686567, 0.2862885353596216, 1.2175075967635687, 2.56395
foam200, 68.54838709677419, 12.297235023041475, 0.28770356324876234, 1.2219949267977477, 2.56973
foam201, 68.63425925925925, 12.282407407407407, 0.29105282066660876, 1.2238340426240857, 2.5791
foam202, 68.01853997682502, 12.271147161066049, 0.29135910479364124, 1.2247944966328295, 2.58047
foam203, 68.6046511627907, 12.272093023255813, 0.2935073003633446, 1.2286363185876126, 2.58716
foam204, 68.21885913853319, 12.258440046565774, 0.29404964110560816, 1.2292501200477706, 2.58868
foam205, 68.64801864801865, 12.263403263403264, 0.2941895173779727, 1.2308619420567957, 2.59
foam206, 68.61143523920653, 12.266044340723454, 0.293888875433167, 1.2327273917022978, 2.59057
foam207, 69.04205607476635, 12.266355140186915, 0.29359716005370173, 1.2341998531936305, 2.59087
foam208, 71.17437722419929, 12.291814946619217, 0.29504117847168176, 1.257805950703982, 2.60631
foam209, 72.10965435041716, 12.30989272943981, 0.29539162634746496, 1.2640779676860492, 2.61105
foam210, 72.0763723150358, 12.312649164677804, 0.29532672972321494, 1.2656365813297887, 2.61189
foam211, 70.01194743130227, 12.281959378733573, 0.2967264610199005, 1.2632504047061477, 2.61518
foam212, 69.97607655502392, 12.279904306220097, 0.29735243611385354, 1.264809614910751, 2.61732
foam213, 68.8622754491018, 12.2562874251497, 0.2986292832469839, 1.2747111168662695, 2.62068
foam214, 69.30455635491607, 12.258992805755396, 0.29827515897375556, 1.276261405390308, 2.62102
foam215, 69.87951807228916, 12.250602409638555, 0.3013708964151196, 1.2777381610372944, 2.62954
foam216, 71.5674362089915, 12.264884568651276, 0.3002264597432083, 1.2935566498008337, 2.63607
foam217, 71.16788321167883, 12.262773722627736, 0.30047485752948755, 1.2937109408840857, 2.63717
foam218, 71.86358099878197, 12.265529841656516, 0.30108408617911486, 1.2915542952132373, 2.6393
foam219, 71.06227106227107, 12.234432234432234, 0.30446431282890263, 1.2962338768376669, 2.64661
foam220, 70.6601466992665, 12.229828850855746, 0.3048035641240303, 1.2980438424305991, 2.64814
foam221, 71.44607843137256, 12.237745098039216, 0.3051124186428542, 1.3013269347824736, 2.65072
foam222, 69.77886977886978, 12.199017199017199, 0.30953559164900857, 1.303959992477678, 2.66003
foam223, 70.23370233702337, 12.201722017220172, 0.309587852989885, 1.3054688575239315, 2.66109
foam224, 69.2971639950678, 12.189889025893958, 0.3129028900261024, 1.30922826097067, 2.66938
foam225, 69.09765142150803, 12.187886279357231, 0.3137120988743427, 1.3125261380914275, 2.67279
foam226, 67.82608695652173, 12.159006211180124, 0.3166675814531894, 1.319171628082294, 2.68176
foam227, 68.70324189526184, 12.16708229426434, 0.3168233421096531, 1.3241633219782174, 2.68497
